"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9110","Search Product Test: Searching for tablet","chromium","2026-01-29","passed","2026-01-29","Search Functionality Test Suite @master","Search.spec.ts","",""
"","6778","Search Product Test: Searching for monitor","chromium","2026-01-29","passed","2026-01-29","Search Functionality Test Suite @master","Search.spec.ts","",""
"","4615","Login test with data from JSON file: Login with invalid credentials tc_03 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
"","6810","Search Product Test: Searching for camera","chromium","2026-01-29","passed","2026-01-29","Search Functionality Test Suite @master","Search.spec.ts","",""
"","14091","Register to the application @master","chromium","2026-01-29","passed","2026-01-29","","Registration.spec.ts","",""
"","13183","Change Password with valid data @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","15416","Remove Product from Wish List from My Wish List Page @master","chromium","2026-01-29","passed","2026-01-29","Remove Product from Wish List Tests","RemoveProductFromWishList.spec.ts","",""
"","13744","Try to Change Password with long password @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","4937","Login test with data from JSON file: Login with valid email and empty password tc_05 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
"","5097","Login test with data from JSON file: Login with valid credentials tc_01 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
"","6156","Unsubscribe from Newsletter from My Account Page @master","chromium","2026-01-29","passed","2026-01-29","Newsletter Subscription Tests","SubscribeToNewsletter.spec.ts","",""
"","5838","Verify Forgot Password with valid registered email @master","chromium","2026-01-29","passed","2026-01-29","Forgot Password Tests","ForgotPassword.spec.ts","",""
"","4625","Verify Forgot Password with unregistered email @master","chromium","2026-01-29","passed","2026-01-29","Forgot Password Tests","ForgotPassword.spec.ts","",""
"","10627","Add single product to shopping cart @master","chromium","2026-01-29","passed","2026-01-29","Add to Cart Test Suite","AddToCart.spec.ts","",""
"","4691","Add multiple products to shopping cart @master","chromium","2026-01-29","failed","2026-01-29","Add to Cart Test Suite","AddToCart.spec.ts","",""
"","4345","Login test with data from JSON file: Login with empty email an empty password tc_06 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
"","7667","Try to Change Password with short password @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","4659","Login test with data from JSON file: Login with empty email an valid password tc_04 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
"","9124","Try to Change Password with mismatched confirm password @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","14244","Try to Change password wih minimum length password @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","8444","Logout Test @master","chromium","2026-01-29","passed","2026-01-29","","Logout.spec.ts","",""
"","6087","Subscribe to Newsletter from My Account Page @master","chromium","2026-01-29","passed","2026-01-29","Newsletter Subscription Tests","SubscribeToNewsletter.spec.ts","",""
"","6927","Search Product Test: Search with empty input","chromium","2026-01-29","passed","2026-01-29","Search Functionality Test Suite @master","Search.spec.ts","",""
"","13561","Try to Change password wih maximum length password @master","chromium","2026-01-29","passed","2026-01-29","Change Password Tests","ChangePassword.spec.ts","",""
"","12262","Add Product to Wish List from Home Page @master","chromium","2026-01-29","passed","2026-01-29","Add Product to Wish List Tests","AddProductToWishList.spec.ts","",""
"","5176","Login test with data from JSON file: Login with valid credentials tc_02 @master","chromium","2026-01-29","passed","2026-01-29","Data Driven Login Test Suite @master","LoginDataDriven.spec.ts","",""
